OCR PIPELINE COMPARISON RESULTS
============================================================

Rank 1: deskew_grayscale_denoise(bilateral)_contrast
  Edit Distance: 25

Rank 23: deskew_grayscale_denoise(bilateral)_morph(open)
  Overall Score: 72.67%
  Character Accuracy: 76.12%
  Word Accuracy: 70.93%
  Line Accuracy: 66.67%
  Edit Distance: 28

Rank 24: grayscale_denoise(bilateral)_morph(open)
  Overall Score: 72.67%
  Character Accuracy: 76.12%
  Word Accuracy: 70.93%
  Line Accuracy: 66.67%
  Edit Distance: 28

Rank 25: deskew_grayscale_denoise(bilateral)_contrast_morph(open)
  Overall Score: 70.90%
  Character Accuracy: 79.54%
  Word Accuracy: 59.30%
  Line Accuracy: 66.67%
  Edit Distance: 25

Rank 26: grayscale_denoise(bilateral)_contrast_morph(open)
  Overall Score: 70.90%
  Character Accuracy: 79.54%
  Word Accuracy: 59.30%
  Line Accuracy: 66.67%
  Edit Distance: 25

Rank 27: deskew_grayscale_morph(open)
  Overall Score: 68.97%
  Character Accuracy: 73.02%
  Word Accuracy: 67.44%
  Line Accuracy: 61.11%
  Edit Distance: 28

Rank 28: grayscale_morph(open)
  Overall Score: 68.97%
  Character Accuracy: 73.02%
  Word Accuracy: 67.44%
  Line Accuracy: 61.11%
  Edit Distance: 28

Rank 29: deskew_grayscale_contrast_morph(open)
  Overall Score: 68.51%
  Character Accuracy: 74.32%
  Word Accuracy: 67.44%
  Line Accuracy: 55.56%
  Edit Distance: 32

Rank 30: grayscale_contrast_morph(open)
  Overall Score: 68.51%
  Character Accuracy: 74.32%
  Word Accuracy: 67.44%
  Line Accuracy: 55.56%
  Edit Distance: 32

Rank 31: deskew_grayscale_denoise(gaussian)
  Overall Score: 65.69%
  Character Accuracy: 58.80%
  Word Accuracy: 80.23%
  Line Accuracy: 61.11%
  Edit Distance: 17

Rank 32: grayscale_denoise(gaussian)
  Overall Score: 65.69%
  Character Accuracy: 58.80%
  Word Accuracy: 80.23%
  Line Accuracy: 61.11%
  Edit Distance: 17

Rank 33: deskew_grayscale_denoise(gaussian)_binarize(adaptive)
  Overall Score: 64.10%
  Character Accuracy: 59.68%
  Word Accuracy: 69.77%
  Line Accuracy: 66.67%
  Edit Distance: 20

Rank 34: grayscale_denoise(gaussian)_binarize(adaptive)
  Overall Score: 64.10%
  Character Accuracy: 59.68%
  Word Accuracy: 69.77%
  Line Accuracy: 66.67%
  Edit Distance: 20

Rank 35: deskew_grayscale_denoise(bilateral)
  Overall Score: 59.57%
  Character Accuracy: 40.97%
  Word Accuracy: 89.53%
  Line Accuracy: 61.11%
  Edit Distance: 8

Rank 36: grayscale_denoise(bilateral)
  Overall Score: 59.57%
  Character Accuracy: 40.97%
  Word Accuracy: 89.53%
  Line Accuracy: 61.11%
  Edit Distance: 8

Rank 37: deskew_grayscale_denoise(gaussian)_contrast_binarize(adaptive)
  Overall Score: 58.51%
  Character Accuracy: 54.21%
  Word Accuracy: 63.95%
  Line Accuracy: 61.11%
  Edit Distance: 25

Rank 38: grayscale_denoise(gaussian)_contrast_binarize(adaptive)
  Overall Score: 58.51%
  Character Accuracy: 54.21%
  Word Accuracy: 63.95%
  Line Accuracy: 61.11%
  Edit Distance: 25

Rank 39: deskew_grayscale_denoise(gaussian)_contrast
  Overall Score: 56.10%
  Character Accuracy: 53.96%
  Word Accuracy: 67.44%
  Line Accuracy: 44.44%
  Edit Distance: 15

Rank 40: grayscale_denoise(gaussian)_contrast
  Overall Score: 56.10%
  Character Accuracy: 53.96%
  Word Accuracy: 67.44%
  Line Accuracy: 44.44%
  Edit Distance: 15

Rank 41: deskew_grayscale_denoise(bilateral)_binarize(otsu)
  Overall Score: 55.89%
  Character Accuracy: 42.68%
  Word Accuracy: 74.42%
  Line Accuracy: 61.11%
  Edit Distance: 18

Rank 42: grayscale_denoise(bilateral)_binarize(otsu)
  Overall Score: 55.89%
  Character Accuracy: 42.68%
  Word Accuracy: 74.42%
  Line Accuracy: 61.11%
  Edit Distance: 18

Rank 43: standard
  Overall Score: 50.19%
  Character Accuracy: 43.66%
  Word Accuracy: 68.60%
  Line Accuracy: 38.89%
  Edit Distance: 17

Rank 44: deskew_grayscale_denoise(gaussian)_morph(open)
  Overall Score: 46.64%
  Character Accuracy: 44.10%
  Word Accuracy: 52.33%
  Line Accuracy: 44.44%
  Edit Distance: 24

Rank 45: grayscale_denoise(gaussian)_morph(open)
  Overall Score: 46.64%
  Character Accuracy: 44.10%
  Word Accuracy: 52.33%
  Line Accuracy: 44.44%
  Edit Distance: 24

Rank 46: deskew_grayscale_denoise(bilateral)_morph(erode)
  Overall Score: 45.91%
  Character Accuracy: 47.79%
  Word Accuracy: 51.16%
  Line Accuracy: 33.33%
  Edit Distance: 28

Rank 47: grayscale_denoise(bilateral)_morph(erode)
  Overall Score: 45.91%
  Character Accuracy: 47.79%
  Word Accuracy: 51.16%
  Line Accuracy: 33.33%
  Edit Distance: 28

Rank 48: deskew_grayscale_denoise(gaussian)_binarize(otsu)
  Overall Score: 41.49%
  Character Accuracy: 45.49%
  Word Accuracy: 47.67%
  Line Accuracy: 22.22%
  Edit Distance: 27

Rank 49: grayscale_denoise(gaussian)_binarize(otsu)
  Overall Score: 41.49%
  Character Accuracy: 45.49%
  Word Accuracy: 47.67%
  Line Accuracy: 22.22%
  Edit Distance: 27

Rank 50: deskew_grayscale_denoise(gaussian)_contrast_morph(close)
  Overall Score: 40.97%
  Character Accuracy: 45.15%
  Word Accuracy: 46.51%
  Line Accuracy: 22.22%
  Edit Distance: 34

Rank 51: grayscale_denoise(gaussian)_contrast_morph(close)
  Overall Score: 40.97%
  Character Accuracy: 45.15%
  Word Accuracy: 46.51%
  Line Accuracy: 22.22%
  Edit Distance: 34

Rank 52: deskew_grayscale_denoise(gaussian)_contrast_morph(dilate)
  Overall Score: 40.76%
  Character Accuracy: 48.34%
  Word Accuracy: 44.19%
  Line Accuracy: 16.67%
  Edit Distance: 31

Rank 53: grayscale_denoise(gaussian)_contrast_morph(dilate)
  Overall Score: 40.76%
  Character Accuracy: 48.34%
  Word Accuracy: 44.19%
  Line Accuracy: 16.67%
  Edit Distance: 31

Rank 54: deskew_grayscale_denoise(gaussian)_morph(dilate)
  Overall Score: 38.94%
  Character Accuracy: 41.65%
  Word Accuracy: 41.86%
  Line Accuracy: 27.78%
  Edit Distance: 32

Rank 55: grayscale_denoise(gaussian)_morph(dilate)
  Overall Score: 38.94%
  Character Accuracy: 41.65%
  Word Accuracy: 41.86%
  Line Accuracy: 27.78%
  Edit Distance: 32

Rank 56: deskew_grayscale_contrast_binarize(simple)
  Overall Score: 37.52%
  Character Accuracy: 39.82%
  Word Accuracy: 29.07%
  Line Accuracy: 44.44%
  Edit Distance: 17

Rank 57: grayscale_contrast_binarize(simple)
  Overall Score: 37.52%
  Character Accuracy: 39.82%
  Word Accuracy: 29.07%
  Line Accuracy: 44.44%
  Edit Distance: 17

Rank 58: deskew_grayscale_denoise(bilateral)_contrast_binarize(simple)
  Overall Score: 36.44%
  Character Accuracy: 36.14%
  Word Accuracy: 27.91%
  Line Accuracy: 50.00%
  Edit Distance: 9

Rank 59: grayscale_denoise(bilateral)_contrast_binarize(simple)
  Overall Score: 36.44%
  Character Accuracy: 36.14%
  Word Accuracy: 27.91%
  Line Accuracy: 50.00%
  Edit Distance: 9

Rank 60: deskew_grayscale_denoise(gaussian)_contrast_morph(open)
  Overall Score: 35.60%
  Character Accuracy: 38.73%
  Word Accuracy: 43.02%
  Line Accuracy: 16.67%
  Edit Distance: 17

Rank 61: grayscale_denoise(gaussian)_contrast_morph(open)
  Overall Score: 35.60%
  Character Accuracy: 38.73%
  Word Accuracy: 43.02%
  Line Accuracy: 16.67%
  Edit Distance: 17

Rank 62: deskew_grayscale_binarize(otsu)_morph(open)
  Overall Score: 35.60%
  Character Accuracy: 48.04%
  Word Accuracy: 34.88%
  Line Accuracy: 5.56%
  Edit Distance: 43

Rank 63: grayscale_binarize(otsu)_morph(open)
  Overall Score: 35.60%
  Character Accuracy: 48.04%
  Word Accuracy: 34.88%
  Line Accuracy: 5.56%
  Edit Distance: 43

Rank 64: deskew_grayscale_denoise(bilateral)_binarize(simple)
  Overall Score: 35.15%
  Character Accuracy: 33.56%
  Word Accuracy: 27.91%
  Line Accuracy: 50.00%
  Edit Distance: 6

Rank 65: grayscale_denoise(bilateral)_binarize(simple)
  Overall Score: 35.15%
  Character Accuracy: 33.56%
  Word Accuracy: 27.91%
  Line Accuracy: 50.00%
  Edit Distance: 6

Rank 66: deskew_grayscale_contrast_morph(erode)
  Overall Score: 34.29%
  Character Accuracy: 31.78%
  Word Accuracy: 46.51%
  Line Accuracy: 22.22%
  Edit Distance: 25

Rank 67: grayscale_contrast_morph(erode)
  Overall Score: 34.29%
  Character Accuracy: 31.78%
  Word Accuracy: 46.51%
  Line Accuracy: 22.22%
  Edit Distance: 25

Rank 68: deskew_grayscale_morph(erode)
  Overall Score: 31.60%
  Character Accuracy: 30.02%
  Word Accuracy: 44.19%
  Line Accuracy: 16.67%
  Edit Distance: 24

Rank 69: grayscale_morph(erode)
  Overall Score: 31.60%
  Character Accuracy: 30.02%
  Word Accuracy: 44.19%
  Line Accuracy: 16.67%
  Edit Distance: 24

Rank 70: deskew_grayscale_binarize(otsu)_morph(erode)
  Overall Score: 30.74%
  Character Accuracy: 34.83%
  Word Accuracy: 40.70%
  Line Accuracy: 5.56%
  Edit Distance: 31

Rank 71: grayscale_binarize(otsu)_morph(erode)
  Overall Score: 30.74%
  Character Accuracy: 34.83%
  Word Accuracy: 40.70%
  Line Accuracy: 5.56%
  Edit Distance: 31

Rank 72: deskew_grayscale_denoise(gaussian)_contrast_binarize(simple)
  Overall Score: 30.67%
  Character Accuracy: 33.22%
  Word Accuracy: 20.93%
  Line Accuracy: 38.89%
  Edit Distance: 9

Rank 73: grayscale_denoise(gaussian)_contrast_binarize(simple)
  Overall Score: 30.67%
  Character Accuracy: 33.22%
  Word Accuracy: 20.93%
  Line Accuracy: 38.89%
  Edit Distance: 9

Rank 74: deskew_grayscale_denoise(bilateral)_contrast_morph(close)
  Overall Score: 29.88%
  Character Accuracy: 32.60%
  Word Accuracy: 26.74%
  Line Accuracy: 27.78%
  Edit Distance: 26

Rank 75: grayscale_denoise(bilateral)_contrast_morph(close)
  Overall Score: 29.88%
  Character Accuracy: 32.60%
  Word Accuracy: 26.74%
  Line Accuracy: 27.78%
  Edit Distance: 26

Rank 76: deskew_grayscale_denoise(bilateral)_contrast_morph(dilate)
  Overall Score: 28.66%
  Character Accuracy: 31.00%
  Word Accuracy: 29.07%
  Line Accuracy: 22.22%
  Edit Distance: 32

Rank 77: grayscale_denoise(bilateral)_contrast_morph(dilate)
  Overall Score: 28.66%
  Character Accuracy: 31.00%
  Word Accuracy: 29.07%
  Line Accuracy: 22.22%
  Edit Distance: 32

Rank 78: deskew_grayscale_denoise(bilateral)_contrast_morph(erode)
  Overall Score: 27.72%
  Character Accuracy: 20.73%
  Word Accuracy: 43.02%
  Line Accuracy: 22.22%
  Edit Distance: 23

Rank 79: grayscale_denoise(bilateral)_contrast_morph(erode)
  Overall Score: 27.72%
  Character Accuracy: 20.73%
  Word Accuracy: 43.02%
  Line Accuracy: 22.22%
  Edit Distance: 23

Rank 80: deskew_grayscale_denoise(gaussian)_binarize(simple)
  Overall Score: 26.13%
  Character Accuracy: 29.99%
  Word Accuracy: 18.60%
  Line Accuracy: 27.78%
  Edit Distance: 17

Rank 81: grayscale_denoise(gaussian)_binarize(simple)
  Overall Score: 26.13%
  Character Accuracy: 29.99%
  Word Accuracy: 18.60%
  Line Accuracy: 27.78%
  Edit Distance: 17

Rank 82: deskew_grayscale_contrast_morph(close)
  Overall Score: 25.80%
  Character Accuracy: 27.67%
  Word Accuracy: 13.95%
  Line Accuracy: 38.89%
  Edit Distance: 13

Rank 83: grayscale_contrast_morph(close)
  Overall Score: 25.80%
  Character Accuracy: 27.67%
  Word Accuracy: 13.95%
  Line Accuracy: 38.89%
  Edit Distance: 13

Rank 84: deskew_grayscale_binarize(simple)
  Overall Score: 25.04%
  Character Accuracy: 11.95%
  Word Accuracy: 30.23%
  Line Accuracy: 50.00%
  Edit Distance: 8

Rank 85: grayscale_binarize(simple)
  Overall Score: 25.04%
  Character Accuracy: 11.95%
  Word Accuracy: 30.23%
  Line Accuracy: 50.00%
  Edit Distance: 8

Rank 86: deskew_grayscale_contrast_binarize(otsu)_morph(open)
  Overall Score: 23.82%
  Character Accuracy: 28.10%
  Word Accuracy: 32.56%
  Line Accuracy: 0.00%
  Edit Distance: 38

Rank 87: grayscale_contrast_binarize(otsu)_morph(open)
  Overall Score: 23.82%
  Character Accuracy: 28.10%
  Word Accuracy: 32.56%
  Line Accuracy: 0.00%
  Edit Distance: 38

Rank 88: deskew_grayscale_denoise(bilateral)_binarize(adaptive)_morph(erode)
  Overall Score: 22.93%
  Character Accuracy: 24.80%
  Word Accuracy: 31.40%
  Line Accuracy: 5.56%
  Edit Distance: 26

Rank 89: grayscale_denoise(bilateral)_binarize(adaptive)_morph(erode)
  Overall Score: 22.93%
  Character Accuracy: 24.80%
  Word Accuracy: 31.40%
  Line Accuracy: 5.56%
  Edit Distance: 26

Rank 90: deskew_grayscale_contrast_binarize(otsu)_morph(erode)
  Overall Score: 22.76%
  Character Accuracy: 24.59%
  Word Accuracy: 34.88%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 91: grayscale_contrast_binarize(otsu)_morph(erode)
  Overall Score: 22.76%
  Character Accuracy: 24.59%
  Word Accuracy: 34.88%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 92: deskew_grayscale_morph(close)
  Overall Score: 22.10%
  Character Accuracy: 32.64%
  Word Accuracy: 8.14%
  Line Accuracy: 16.67%
  Edit Distance: 31

Rank 93: grayscale_morph(close)
  Overall Score: 22.10%
  Character Accuracy: 32.64%
  Word Accuracy: 8.14%
  Line Accuracy: 16.67%
  Edit Distance: 31

Rank 94: deskew_grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(erode)
  Overall Score: 21.42%
  Character Accuracy: 27.80%
  Word Accuracy: 13.95%
  Line Accuracy: 16.67%
  Edit Distance: 10

Rank 95: grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(erode)
  Overall Score: 21.42%
  Character Accuracy: 27.80%
  Word Accuracy: 13.95%
  Line Accuracy: 16.67%
  Edit Distance: 10

Rank 96: deskew_grayscale_contrast_binarize(adaptive)_morph(open)
  Overall Score: 21.37%
  Character Accuracy: 25.30%
  Word Accuracy: 29.07%
  Line Accuracy: 0.00%
  Edit Distance: 36

Rank 97: grayscale_contrast_binarize(adaptive)_morph(open)
  Overall Score: 21.37%
  Character Accuracy: 25.30%
  Word Accuracy: 29.07%
  Line Accuracy: 0.00%
  Edit Distance: 36

Rank 98: deskew_grayscale_denoise(bilateral)_binarize(simple)_morph(erode)
  Overall Score: 21.28%
  Character Accuracy: 31.97%
  Word Accuracy: 13.95%
  Line Accuracy: 5.56%
  Edit Distance: 21

Rank 99: grayscale_denoise(bilateral)_binarize(simple)_morph(erode)
  Overall Score: 21.28%
  Character Accuracy: 31.97%
  Word Accuracy: 13.95%
  Line Accuracy: 5.56%
  Edit Distance: 21

Rank 100: deskew_grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(open)
  Overall Score: 21.14%
  Character Accuracy: 27.93%
  Word Accuracy: 12.79%
  Line Accuracy: 16.67%
  Edit Distance: 16

Rank 101: grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(open)
  Overall Score: 21.14%
  Character Accuracy: 27.93%
  Word Accuracy: 12.79%
  Line Accuracy: 16.67%
  Edit Distance: 16

Rank 102: deskew_grayscale_binarize(adaptive)_morph(open)
  Overall Score: 20.63%
  Character Accuracy: 23.11%
  Word Accuracy: 30.23%
  Line Accuracy: 0.00%
  Edit Distance: 36

Rank 103: grayscale_binarize(adaptive)_morph(open)
  Overall Score: 20.63%
  Character Accuracy: 23.11%
  Word Accuracy: 30.23%
  Line Accuracy: 0.00%
  Edit Distance: 36

Rank 104: deskew_grayscale_denoise(bilateral)_binarize(simple)_morph(open)
  Overall Score: 20.59%
  Character Accuracy: 28.37%
  Word Accuracy: 13.95%
  Line Accuracy: 11.11%
  Edit Distance: 14

Rank 105: grayscale_denoise(bilateral)_binarize(simple)_morph(open)
  Overall Score: 20.59%
  Character Accuracy: 28.37%
  Word Accuracy: 13.95%
  Line Accuracy: 11.11%
  Edit Distance: 14

Rank 106: deskew_grayscale_denoise(bilateral)_morph(dilate)
  Overall Score: 20.55%
  Character Accuracy: 19.78%
  Word Accuracy: 24.42%
  Line Accuracy: 16.67%
  Edit Distance: 24

Rank 107: grayscale_denoise(bilateral)_morph(dilate)
  Overall Score: 20.55%
  Character Accuracy: 19.78%
  Word Accuracy: 24.42%
  Line Accuracy: 16.67%
  Edit Distance: 24

Rank 108: deskew_grayscale_denoise(bilateral)_contrast_binarize(simple)_morph(open)
  Overall Score: 19.89%
  Character Accuracy: 27.66%
  Word Accuracy: 12.79%
  Line Accuracy: 11.11%
  Edit Distance: 13

Rank 109: grayscale_denoise(bilateral)_contrast_binarize(simple)_morph(open)
  Overall Score: 19.89%
  Character Accuracy: 27.66%
  Word Accuracy: 12.79%
  Line Accuracy: 11.11%
  Edit Distance: 13

Rank 110: deskew_grayscale_denoise(gaussian)_binarize(simple)_morph(erode)
  Overall Score: 19.64%
  Character Accuracy: 27.99%
  Word Accuracy: 15.12%
  Line Accuracy: 5.56%
  Edit Distance: 15

Rank 111: grayscale_denoise(gaussian)_binarize(simple)_morph(erode)
  Overall Score: 19.64%
  Character Accuracy: 27.99%
  Word Accuracy: 15.12%
  Line Accuracy: 5.56%
  Edit Distance: 15

Rank 112: deskew_grayscale_denoise(gaussian)_binarize(simple)_morph(open)
  Overall Score: 19.34%
  Character Accuracy: 27.95%
  Word Accuracy: 10.47%
  Line Accuracy: 11.11%
  Edit Distance: 23

Rank 113: grayscale_denoise(gaussian)_binarize(simple)_morph(open)
  Overall Score: 19.34%
  Character Accuracy: 27.95%
  Word Accuracy: 10.47%
  Line Accuracy: 11.11%
  Edit Distance: 23

Rank 114: deskew_grayscale_contrast_morph(dilate)
  Overall Score: 19.29%
  Character Accuracy: 30.91%
  Word Accuracy: 12.79%
  Line Accuracy: 0.00%
  Edit Distance: 25

Rank 115: grayscale_contrast_morph(dilate)
  Overall Score: 19.29%
  Character Accuracy: 30.91%
  Word Accuracy: 12.79%
  Line Accuracy: 0.00%
  Edit Distance: 25

Rank 116: deskew_grayscale_denoise(bilateral)_binarize(otsu)_morph(open)
  Overall Score: 18.99%
  Character Accuracy: 21.10%
  Word Accuracy: 24.42%
  Line Accuracy: 5.56%
  Edit Distance: 26

Rank 117: grayscale_denoise(bilateral)_binarize(otsu)_morph(open)
  Overall Score: 18.99%
  Character Accuracy: 21.10%
  Word Accuracy: 24.42%
  Line Accuracy: 5.56%
  Edit Distance: 26

Rank 118: deskew_grayscale_morph(dilate)
  Overall Score: 17.67%
  Character Accuracy: 28.93%
  Word Accuracy: 6.98%
  Line Accuracy: 5.56%
  Edit Distance: 36

Rank 119: grayscale_morph(dilate)
  Overall Score: 17.67%
  Character Accuracy: 28.93%
  Word Accuracy: 6.98%
  Line Accuracy: 5.56%
  Edit Distance: 36

Rank 120: deskew_grayscale_denoise(gaussian)_morph(erode)
  Overall Score: 17.66%
  Character Accuracy: 19.15%
  Word Accuracy: 23.26%
  Line Accuracy: 5.56%
  Edit Distance: 18

Rank 121: grayscale_denoise(gaussian)_morph(erode)
  Overall Score: 17.66%
  Character Accuracy: 19.15%
  Word Accuracy: 23.26%
  Line Accuracy: 5.56%
  Edit Distance: 18

Rank 122: deskew_grayscale_denoise(gaussian)_morph(close)
  Overall Score: 17.66%
  Character Accuracy: 18.18%
  Word Accuracy: 17.44%
  Line Accuracy: 16.67%
  Edit Distance: 16

Rank 123: grayscale_denoise(gaussian)_morph(close)
  Overall Score: 17.66%
  Character Accuracy: 18.18%
  Word Accuracy: 17.44%
  Line Accuracy: 16.67%
  Edit Distance: 16

Rank 124: deskew_grayscale_denoise(bilateral)_binarize(adaptive)_morph(open)
  Overall Score: 15.55%
  Character Accuracy: 14.09%
  Word Accuracy: 20.93%
  Line Accuracy: 11.11%
  Edit Distance: 17

Rank 125: grayscale_denoise(bilateral)_binarize(adaptive)_morph(open)
  Overall Score: 15.55%
  Character Accuracy: 14.09%
  Word Accuracy: 20.93%
  Line Accuracy: 11.11%
  Edit Distance: 17

Rank 126: deskew_grayscale_denoise(gaussian)_contrast_morph(erode)
  Overall Score: 14.70%
  Character Accuracy: 10.31%
  Word Accuracy: 24.42%
  Line Accuracy: 11.11%
  Edit Distance: 9

Rank 127: grayscale_denoise(gaussian)_contrast_morph(erode)
  Overall Score: 14.70%
  Character Accuracy: 10.31%
  Word Accuracy: 24.42%
  Line Accuracy: 11.11%
  Edit Distance: 9

Rank 128: deskew_grayscale_denoise(bilateral)_morph(close)
  Overall Score: 14.45%
  Character Accuracy: 10.24%
  Word Accuracy: 16.28%
  Line Accuracy: 22.22%
  Edit Distance: 11

Rank 129: grayscale_denoise(bilateral)_morph(close)
  Overall Score: 14.45%
  Character Accuracy: 10.24%
  Word Accuracy: 16.28%
  Line Accuracy: 22.22%
  Edit Distance: 11

Rank 130: deskew_grayscale_denoise(gaussian)_contrast_binarize(otsu)
  Overall Score: 14.44%
  Character Accuracy: 12.71%
  Word Accuracy: 23.26%
  Line Accuracy: 5.56%
  Edit Distance: 18

Rank 131: grayscale_denoise(gaussian)_contrast_binarize(otsu)
  Overall Score: 14.44%
  Character Accuracy: 12.71%
  Word Accuracy: 23.26%
  Line Accuracy: 5.56%
  Edit Distance: 18

Rank 132: deskew_grayscale_denoise(bilateral)_binarize(otsu)_morph(erode)
  Overall Score: 14.28%
  Character Accuracy: 8.33%
  Word Accuracy: 33.72%
  Line Accuracy: 0.00%
  Edit Distance: 15

Rank 133: grayscale_denoise(bilateral)_binarize(otsu)_morph(erode)
  Overall Score: 14.28%
  Character Accuracy: 8.33%
  Word Accuracy: 33.72%
  Line Accuracy: 0.00%
  Edit Distance: 15

Rank 134: deskew_grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(erode)
  Overall Score: 14.24%
  Character Accuracy: 12.43%
  Word Accuracy: 26.74%
  Line Accuracy: 0.00%
  Edit Distance: 20

Rank 135: grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(erode)
  Overall Score: 14.24%
  Character Accuracy: 12.43%
  Word Accuracy: 26.74%
  Line Accuracy: 0.00%
  Edit Distance: 20

Rank 136: deskew_grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(close)
  Overall Score: 14.21%
  Character Accuracy: 24.24%
  Word Accuracy: 6.98%
  Line Accuracy: 0.00%
  Edit Distance: 41

Rank 137: grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(close)
  Overall Score: 14.21%
  Character Accuracy: 24.24%
  Word Accuracy: 6.98%
  Line Accuracy: 0.00%
  Edit Distance: 41

Rank 138: deskew_grayscale_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 13.09%
  Character Accuracy: 11.53%
  Word Accuracy: 24.42%
  Line Accuracy: 0.00%
  Edit Distance: 22

Rank 139: grayscale_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 13.09%
  Character Accuracy: 11.53%
